ID,Centroid
1273,"[1807.2670433697806, 1354.1952740882073, 219.5947750788875]"
1274,"[1809.5504252172304, 2815.921935662784, 195.85112775004623]"
1276,"[1827.3504151482136, 1928.683134838637, 230.1089153548484]"
1278,"[1799.2338229938084, 2878.1105985188783, 184.0827971348792]"
1280,"[1810.3189691592734, 2761.952154626109, 34.944233206590624]"
1281,"[1846.0027269275465, 2186.3810449770453, 95.36010401445157]"
1282,"[1803.6592793490895, 2483.057342115459, 253.3571483920961]"
1284,"[1824.2076491153723, 3265.1648479711835, 290.99867570717237]"
1288,"[1814.8935926043991, 2556.0211029646157, 216.46420146636913]"
1290,"[1860.6155994843145, 2620.7349907732755, 104.96548193837053]"
1292,"[1815.4339502233568, 1382.2441425836448, 107.3971191539794]"
1294,"[1832.5958637652786, 2571.7791330974073, 242.0821474286575]"
1295,"[1890.2992920117554, 2952.679468340903, 277.14006144803636]"
1296,"[1918.2260585896058, 1150.9919130754852, 103.82405796892253]"
1298,"[1831.855231724797, 2800.229574773053, 287.70102723363595]"
1299,"[1905.3505895678438, 1088.623344563197, 237.6796826595415]"
1303,"[1847.8737533404362, 1408.96906712312, 272.8724957644141]"
1305,"[1842.5908493870402, 2641.9379013426737, 166.86850554582603]"
1306,"[1865.4472678158552, 2925.059885996841, 228.5354600187716]"
1310,"[1892.5372322045612, 2965.4062715964064, 14.240546944417021]"
1314,"[1974.6537459326473, 1209.4830030951562, 39.48170021957091]"
1315,"[1939.3896172744753, 2318.880988740574, 179.28945348662398]"
1317,"[1857.8856929889946, 1050.792300609462, 19.247160959354584]"
1318,"[1875.7119922630561, 1920.1262088974854, 269.1621534493875]"
1320,"[1896.3362483166802, 1137.3845616718481, 176.7426723636303]"
1321,"[1898.5660261790795, 1589.1877339443297, 213.8223951362265]"
1322,"[1926.4332175239385, 2140.768443352258, 221.69233963223456]"
1325,"[1883.658015426308, 1491.2396810506566, 293.50818219720657]"
1326,"[1882.07525497574, 2474.0394098425586, 295.1548668184969]"
1329,"[1892.9696199879527, 2350.5710656574915, 44.76342875101485]"
1331,"[1913.1790638796476, 1048.8161446236898, 286.3741970581466]"
1332,"[1904.6263330215154, 2416.6421421889618, 145.68030869971938]"
1333,"[1879.4758861127252, 1958.8456323842727, 249.97365872554715]"
1335,"[1927.8418191121914, 2573.2445631316364, 6.567896891390559]"
1336,"[1922.4916361443632, 2899.9378126675006, 58.44954886546364]"
1338,"[1931.3603769821482, 2350.3051386257107, 89.8928642664805]"
1339,"[2039.2928176407345, 2037.5076630102524, 172.9067719788907]"
1340,"[1978.3946659170952, 2534.5605912796177, 49.60306056647762]"
1341,"[1894.4817671809258, 2500.1835904628333, 281.9438990182328]"
1342,"[1892.199100674494, 3111.1651261553834, 185.70971771171622]"
1343,"[1957.747725657783, 1615.038981575076, 281.11908646003263]"
1344,"[1938.4355065779891, 1802.4393174425943, 182.15517743579787]"
1345,"[1931.0465456860873, 799.2703342884432, 117.34080865966253]"
1346,"[1961.5852577560065, 1396.5213435969208, 122.40064924966954]"
1347,"[1922.3823150749063, 1508.6534995318352, 15.394253277153558]"
1348,"[1952.843346876587, 1416.8423565261553, 148.61543930929406]"
1349,"[1914.366857362627, 2009.6109321667227, 265.0058651026393]"
1350,"[1940.2073198198198, 1575.2004504504505, 3.1454954954954957]"
1351,"[1930.2456525194723, 2790.214337943093, 94.16849467493245]"
1352,"[1964.1716121974566, 829.4086496028243, 168.63434978804867]"
1353,"[1928.4396744219548, 1146.9936613123964, 19.742202693942232]"
1356,"[1934.1376530307555, 2554.552105106002, 296.5276201851299]"
1357,"[1982.5062243541583, 1264.3216552042998, 192.85066173495926]"
1358,"[1990.7852956450774, 1986.3787743897915, 108.30740411009718]"
1362,"[1979.135495405487, 854.4320288159435, 61.146538011542155]"
1363,"[1986.245792996997, 1786.5603912554736, 212.14682146871803]"
1365,"[1978.7143281807373, 2165.3739347998417, 252.43975426080064]"
