ID,Pixels,ZDiscs,Centroid,PC1,PC2,PC3,Azi_[RAD],Ele_[RAD],Sph_[RAD]
1189,243830,88,"[1791.8957839478326, 738.2386129680515, 240.7769716605832]",[0.42356973 0.04199874 0.90488938],[ 0.46610166  0.84644066 -0.25746351],[ 0.7767483  -0.53082419 -0.33895096],2.170289340790239,-0.4114629944784043,0.6813100455804965
1190,28611,10,"[1682.6005382545175, 724.7977351368355, 284.8145119010171]",[ 0.07547222 -0.46597394  0.88157372],[0.7197857  0.63730132 0.27523731],[ 0.69008151 -0.61377139 -0.38349993],2.2977345406810668,-0.5072328237675044,0.8091946532557754
1195,3625,1,"[1669.944551724138, 13.195310344827586, 235.8678620689655]",[0.60345574 0.46947189 0.64454427],[-0.32281508 -0.59527717  0.73582302],[ 0.72913072 -0.65210523 -0.20767082],2.3004865613442607,-0.277472430324261,0.7537454231191926
1199,12015,4,"[1685.275239284228, 423.8128173116937, 273.0130669995838]",[0.72750798 0.68439347 0.04834998],[ 0.16651414 -0.24448885  0.95524774],[-0.66558634  0.6868994   0.29182877],2.371951619087178,-0.41321061594490627,0.8425171377657261
1203,41953,15,"[1722.1677353228613, 47.96164755798155, 260.2167425452292]",[-0.05037428 -0.47818128  0.87681531],[0.72153686 0.58959272 0.36299446],[ 0.69054108 -0.65094016 -0.31532511],2.326682764080617,-0.428357738538165,0.8085594603925642
1204,34557,12,"[1723.2292154990305, 46.212952513238996, 152.05582081777933]",[0.69924797 0.56736913 0.4349075 ],[-0.13573377 -0.49192785  0.85999031],[ 0.70187507 -0.66037811 -0.2669684 ],2.3257419070665324,-0.36346553338040233,0.7927698141706361
1208,45458,16,"[1738.0593294909586, 270.66043380703064, 221.51077918078227]",[0.50670895 0.04358644 0.86101467],[ 0.5426802   0.7599022  -0.35783635],[ 0.66988376 -0.64857449 -0.36139574],2.3400336361743186,-0.49473849985355756,0.8367441142904237
1223,35564,12,"[1745.6903329209313, 363.37445169272297, 197.07982791586997]",[0.5477903  0.08165544 0.83262127],[ 0.47100457  0.79241872 -0.38759163],[ 0.69143364 -0.60448736 -0.3956192 ],2.2892026188838033,-0.5197066199806394,0.807324711576044
1225,78015,28,"[1783.198705377171, 3354.0802409792987, 191.25042620008972]",[0.56893514 0.32760136 0.75431436],[ 0.28585495  0.78125869 -0.55490702],[ 0.77110295 -0.5313306  -0.35083905],2.174137286133612,-0.42699040090665674,0.6902247272741443
1231,17007,6,"[1746.2940553889575, 546.8894572822956, 258.02610689716]",[0.59511439 0.01902807 0.80341571],[ 0.49494165  0.77894564 -0.38506681],[ 0.63314424 -0.6268027  -0.45414398],2.3511613484493417,-0.6222317551314268,0.8851876816832325
1234,27713,10,"[1749.8984952910187, 135.20232381914624, 126.99909789629416]",[-0.18912139 -0.51345809  0.83701487],[0.6434573  0.57908593 0.50062181],[ 0.74175185 -0.63326162 -0.22087082],2.277456395825514,-0.2894088857941638,0.735117654265942
1245,9311,3,"[1758.5213188701537, 30.262270432821396, 179.96810224465685]",[0.47066185 0.1535714  0.86884593],[ 0.51596521  0.7508987  -0.41222694],[ 0.71572154 -0.64231377 -0.27418187],2.3021926493772953,-0.36583959068333505,0.7731396065176535
1246,109287,39,"[1800.5663070630542, 3523.9164127480853, 26.844867184569072]",[0.24297818 0.40694    0.8805461 ],[ 0.45654426  0.75295207 -0.47395202],[ 0.85587905 -0.51716827  0.0028352 ],2.114337836075702,-0.0033126011549500425,0.5435481607147148
1252,3204,1,"[1762.4013732833957, 39.33676654182272, 296.0739700374532]",[ 0.73120287  0.67028484 -0.12673038],[ 0.23504749 -0.07315834  0.96922677],[-0.64038663  0.73848906  0.21104236],2.427221490771868,-0.31834584566804375,0.8757947787901752
1255,11554,4,"[1775.8298424787952, 143.08213605677687, 274.84144019387224]",[ 0.28730398  0.69486725 -0.65925407],[0.56015768 0.43641387 0.70410674],[ 0.77696834 -0.5715789  -0.26385179],2.2050517880975358,-0.32737222316984715,0.6809606049876676
1261,127961,46,"[1836.0999757738687, 3282.0252108064174, 242.98861371824228]",[0.48099339 0.0687155  0.8740272 ],[ 0.44884488  0.83706839 -0.31281749],[ 0.75311595 -0.54276578 -0.37178176],2.195275968183751,-0.4585612020812767,0.718010709407642
