ID,Pixels,ZDiscs,Centroid,PC1,PC2,PC3,Azi_[RAD],Ele_[RAD],Sph_[RAD]
412,7045,2,"[492.26160397444994, 2455.754009936125, 96.13356990773599]",[-0.17927918 -0.00126145  0.98379743],[0.59928492 0.79291105 0.11022546],[ 0.7802029  -0.60933609  0.14139647],0.6630458427980125,-0.17928445476457036,0.6758062123175319
413,38776,14,"[531.4515679801939, 67.37786259541984, 98.14983494945326]",[0.42658181 0.05517165 0.90276467],[ 0.53015229  0.79343331 -0.29900189],[ 0.73277999 -0.60615152 -0.30921484],0.6911043598410036,-0.39930566783396376,0.7483978917625674
415,205997,75,"[584.9684704146177, 1443.4494337296173, 107.15630324713467]",[0.26249367 0.17308939 0.94928243],[ 0.51531576  0.80659823 -0.28956685],[ 0.81581048 -0.56518966 -0.12253124],0.6058742054484402,-0.149081354486651,0.6166670705100264
416,3165,1,"[486.9769352290679, 1122.4660347551344, 208.80568720379148]",[ 0.31173538  0.9376786  -0.15355748],[0.36373416 0.03153365 0.9309689 ],[ 0.87779184 -0.34607005 -0.33123558],0.3755402813561624,-0.3608301832390808,0.4995633130191696
417,5869,2,"[508.29800647469756, 1782.743908672687, 296.0376554779349]",[ 0.61667158  0.77951663 -0.1098635 ],[ 0.49901133 -0.27913863  0.82040802],[ 0.60885455 -0.56074544 -0.56112449],0.7442883791445943,-0.74462511583455,0.916180476814476
419,300379,109,"[560.2665266213684, 2297.4282090292595, 234.603417682328]",[0.08001775 0.1364665  0.98740774],[ 0.48517616  0.85999124 -0.15817447],[ 0.87074753 -0.49172346 -0.00260428],0.514069842246001,-0.002990844243068395,0.5140758472657092
420,193300,70,"[646.7710863942059, 452.050682876358, 227.55427832384893]",[0.58908901 0.42559623 0.68690755],[-0.57120233 -0.38196484  0.72651962],[-0.57157855  0.82034792 -0.01809027],0.9622539725686932,-0.03163909591163677,0.9623679859943093
421,25580,9,"[539.619429241595, 3155.5053948397185, 7.445230648944488]",[0.5514433  0.77243741 0.31504084],[ 0.12620066 -0.45054956  0.88378645],[ 0.82461123 -0.44759975 -0.34593464],0.4972993043542831,-0.39721343805426185,0.601281702630821
422,81719,29,"[546.191889279115, 573.1205350040995, 18.196563834603946]",[ 0.38316316  0.86146512 -0.33326241],[0.19532465 0.27707172 0.94078666],[ 0.90279249 -0.42556915 -0.0621017 ],0.4405004171913316,-0.06868026166370396,0.44457742243189835
423,88028,32,"[571.8450947425819, 1959.6237674376334, 274.65930158585905]",[0.5103567  0.29093233 0.80925547],[ 0.45971014  0.70299431 -0.54264684],[ 0.72677549 -0.6489664  -0.22503331],0.7289004367859866,-0.3002703567104459,0.7571805671647666
